method,seed,after_task,n_seen_classes,pred_entropy,pred_entropy_normalized,effective_predicted_classes,max_pred_mass,dominant_pred_class,min_true_class_recall,zero_recall_classes,collapse_warning,audit_only
baseline_finetune,2,4,10,0.6831734779515306,0.2966984716570026,1.980151739639348,0.5705,8,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_finetune,3,4,10,0.6751787990136127,0.2932264267096767,1.9643841745246953,0.5945,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_finetune,4,4,10,0.6931151802166032,0.3010160980914487,1.9999360003373268,0.504,8,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_hard_top1_moe,0,4,10,0.6990482166788443,0.3035927830879308,2.0118369630619832,0.537,9,0.0,"[0, 1, 2, 3, 4, 5, 6]",True,True
baseline_hard_top1_moe,1,4,10,0.6865776566924027,0.2981768876995757,1.9869040165531993,0.55725,8,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_hard_top1_moe,2,4,10,0.5973063810870296,0.2594068653116978,1.8172173110638705,0.7175,9,0.0,"[0, 1, 2, 4, 5, 6, 7]",True,True
baseline_hard_top1_moe,3,4,10,0.6801301003014634,0.2953767495372307,1.9741345510242017,0.5805,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_hard_top1_moe,4,4,10,0.5827863089283978,0.25310087809636694,1.7910218249900107,0.7375,9,0.0,"[0, 1, 3, 4, 5, 6, 7]",True,True
baseline_joint_upper_bound,0,4,10,2.2998995942062725,0.9988337026953121,9.973181039383359,0.11125,4,0.6025,[],False,True
baseline_joint_upper_bound,1,4,10,2.2984437634584927,0.9982014434349663,9.958672339441323,0.12225,6,0.5525,[],False,True
baseline_joint_upper_bound,2,4,10,2.2924831984811487,0.99561280295628,9.89948958243032,0.13125,6,0.53,[],False,True
baseline_joint_upper_bound,3,4,10,2.2860827970794477,0.9928331439455554,9.836331210504383,0.141,2,0.575,[],False,True
baseline_joint_upper_bound,4,4,10,2.297648284821198,0.9978559714523172,9.95075357835969,0.1215,0,0.6375,[],False,True
baseline_lwf,0,4,10,1.0664713834655555,0.4631626369468176,2.905110372231365,0.63,0,0.0,[4],True,True
baseline_lwf,1,4,10,0.9577341890511795,0.415938673435013,2.6057855619913943,0.6445,0,0.0,[3],True,True
baseline_lwf,2,4,10,1.2629462413129664,0.548490583542674,3.5358235457597207,0.484,0,0.0025,[],False,True
baseline_lwf,3,4,10,0.7835478988812781,0.34029052879102617,2.18922565449554,0.74575,0,0.0,"[3, 4, 5, 7]",True,True
baseline_lwf,4,4,10,0.7532372372295666,0.32712677569285137,2.1238643526288166,0.6905,0,0.0,"[3, 4]",True,True
baseline_noisy_topk_moe,0,4,10,0.6572032918525283,0.2854197631402054,1.9293888444309408,0.63325,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_noisy_topk_moe,1,4,10,0.6687480868498095,0.29043360390222883,1.951792316021692,0.61,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_noisy_topk_moe,2,4,10,0.5733182468799269,0.24898895099439847,1.7741443438208075,0.73975,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_noisy_topk_moe,3,4,10,0.682524387363652,0.29641657519643155,1.9788668588297085,0.57275,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_noisy_topk_moe,4,4,10,0.6781943768520363,0.29453607552465383,1.9703168686621746,0.58625,8,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_pnn,0,4,10,0.6222638287849882,0.2702457471293102,1.8631411036827241,0.686,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_pnn,1,4,10,0.6928470255257289,0.30089963998890545,1.9993997800155983,0.51225,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_pnn,2,4,10,0.6001247559941707,0.26063086998180374,1.8223461348133199,0.71225,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_pnn,3,4,10,0.6897814027064004,0.29956825691487443,1.9932797600544632,0.541,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_pnn,4,4,10,0.6922858082087514,0.3006559064049936,1.9982779970469502,0.52075,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_sparse_moe,0,4,10,0.6931066800111776,0.3010124064991373,1.999919000542737,0.5045,8,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_sparse_moe,1,4,10,0.6902943416276075,0.2997910234579081,1.9943024530913578,0.53775,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_sparse_moe,2,4,10,0.5852379538604385,0.2541656139619383,1.795418161496442,0.728,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_sparse_moe,3,4,10,0.6905167483565802,0.29988761347303905,1.994746048704028,0.53625,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_sparse_moe,4,4,10,0.6929666696962935,0.3009516007919736,1.9996390108549078,0.5095,8,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
paired_context_blend_selected_global,0,4,10,2.3007110429317654,0.9991861103991412,9.981277048730876,0.1125,0,0.845,[],False,True
paired_context_blend_selected_global,1,4,10,2.2987726291537554,0.9983442679917062,9.961947943731547,0.11825,8,0.8025,[],False,True
paired_context_blend_selected_global,2,4,10,2.2789294133391125,0.9897264688601914,9.76621922669528,0.1545,8,0.595,[],False,True
paired_context_blend_selected_global,3,4,10,2.301434633642894,0.9995003618521408,9.988502021734977,0.10625,5,0.8075,[],False,True
paired_context_blend_selected_global,4,4,10,2.2957696876083187,0.997040107049045,9.932077668170223,0.13025,8,0.78,[],False,True
paired_context_gap_safe_class_balanced_readout_calibrated,0,4,10,2.3012153634204746,0.9994051340044983,9.986312080778228,0.11275,0,0.8525,[],False,True
paired_context_gap_safe_class_balanced_readout_calibrated,1,4,10,2.302135066469584,0.9998045559637161,9.995500747222861,0.1055,5,0.8325,[],False,True
paired_context_gap_safe_class_balanced_readout_calibrated,2,4,10,2.3013160584478696,0.999448865299251,9.987317703376524,0.108,8,0.8275,[],False,True
paired_context_gap_safe_class_balanced_readout_calibrated,3,4,10,2.3020905856401463,0.9997852381849408,9.995056148947103,0.106,5,0.8325,[],False,True
paired_context_gap_safe_class_balanced_readout_calibrated,4,4,10,2.301323774347498,0.9994522162718826,9.98739476481478,0.11175,8,0.87,[],False,True
paired_context_gap_selected,0,4,10,2.3010380068117184,0.9993281090079864,9.98454109938587,0.10975,0,0.825,[],False,True
paired_context_gap_selected,1,4,10,2.3023102333383543,0.9998806299682353,9.997251781147632,0.104,9,0.825,[],False,True
paired_context_gap_selected,2,4,10,2.300406496600645,0.9990538476080516,9.978237750252877,0.114,8,0.825,[],False,True
paired_context_gap_selected,3,4,10,2.30217451324983,0.9998216874827058,9.995895045321133,0.10375,4,0.8425,[],False,True
paired_context_gap_selected,4,4,10,2.3002212920168743,0.9989734142792969,9.976389906003474,0.117,8,0.825,[],False,True
paired_context_temp_blend_selected_global,0,4,10,2.3007110429317654,0.9991861103991412,9.981277048730876,0.1125,0,0.845,[],False,True
paired_context_temp_blend_selected_global,1,4,10,2.3020933531639365,0.9997864401052514,9.995083810541058,0.105,6,0.8325,[],False,True
paired_context_temp_blend_selected_global,2,4,10,2.2789294133391125,0.9897264688601914,9.76621922669528,0.1545,8,0.595,[],False,True
paired_context_temp_blend_selected_global,3,4,10,2.301434633642894,0.9995003618521408,9.988502021734977,0.10625,5,0.8075,[],False,True
paired_context_temp_blend_selected_global,4,4,10,2.2957696876083187,0.997040107049045,9.932077668170223,0.13025,8,0.78,[],False,True
paired_context_temp_blend_selected_head_guard_035,0,4,10,2.3010380068117184,0.9993281090079864,9.98454109938587,0.10975,0,0.825,[],False,True
paired_context_temp_blend_selected_head_guard_035,1,4,10,2.3023102333383543,0.9998806299682353,9.997251781147632,0.104,9,0.825,[],False,True
paired_context_temp_blend_selected_head_guard_035,2,4,10,2.300406496600645,0.9990538476080516,9.978237750252877,0.114,8,0.825,[],False,True
paired_context_temp_blend_selected_head_guard_035,3,4,10,2.30217451324983,0.9998216874827058,9.995895045321133,0.10375,4,0.8425,[],False,True
paired_context_temp_blend_selected_head_guard_035,4,4,10,2.3002212920168743,0.9989734142792969,9.976389906003474,0.117,8,0.825,[],False,True
paired_generic_weak_boundary_latent_calibrated,0,4,10,2.3007110429317654,0.9991861103991412,9.981277048730876,0.1125,0,0.845,[],False,True
paired_generic_weak_boundary_latent_calibrated,1,4,10,2.2971225297400455,0.9976276389217401,9.9455232941493,0.123,8,0.77,[],False,True
paired_generic_weak_boundary_latent_calibrated,2,4,10,2.2789294133391125,0.9897264688601914,9.76621922669528,0.1545,8,0.595,[],False,True
paired_generic_weak_boundary_latent_calibrated,3,4,10,2.301434633642894,0.9995003618521408,9.988502021734977,0.10625,5,0.8075,[],False,True
paired_generic_weak_boundary_latent_calibrated,4,4,10,2.2957696876083187,0.997040107049045,9.932077668170223,0.13025,8,0.78,[],False,True
paired_proto_global_head_ce_kl_guard_035,0,4,10,2.300837660937098,0.9992410999001666,9.982540938135347,0.112,0,0.845,[],False,True
paired_proto_global_head_ce_kl_guard_035,1,4,10,2.302283979625556,0.9998692281256375,9.996989319615906,0.1035,4,0.8225,[],False,True
paired_proto_global_head_ce_kl_guard_035,2,4,10,2.2821095559071134,0.9911075872291398,9.797326632963394,0.144,8,0.6575,[],False,True
paired_proto_global_head_ce_kl_guard_035,3,4,10,2.302201484121559,0.9998334007834698,9.996164646959894,0.10325,1,0.8375,[],False,True
paired_proto_global_head_ce_kl_guard_035,4,4,10,2.300607664932508,0.9991412139045135,9.980245257612713,0.11275,8,0.845,[],False,True
paired_proto_global_no_repair,0,4,10,2.3006079397162593,0.9991413332415804,9.980248000022321,0.11275,0,0.845,[],False,True
paired_proto_global_no_repair,1,4,10,2.3021484538793935,0.9998103700419233,9.99563456198333,0.1045,5,0.8325,[],False,True
paired_proto_global_no_repair,2,4,10,2.2388391274864796,0.972315478936469,9.382433154236326,0.1975,8,0.605,[],False,True
paired_proto_global_no_repair,3,4,10,2.301536859144535,0.9995447578234132,9.989523153556759,0.10625,5,0.8075,[],False,True
paired_proto_global_no_repair,4,4,10,2.2953276962145037,0.9968481526256624,9.927688745322703,0.131,8,0.7575,[],False,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,0,4,10,2.3006079397162593,0.9991413332415804,9.980248000022321,0.11275,0,0.845,[],False,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,1,4,10,2.302135066469584,0.9998045559637161,9.995500747222861,0.1055,5,0.8325,[],False,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,2,4,10,2.300406496600645,0.9990538476080516,9.978237750252877,0.114,8,0.825,[],False,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,3,4,10,2.3020905856401463,0.9997852381849408,9.995056148947103,0.106,5,0.8325,[],False,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,4,4,10,2.301323774347498,0.9994522162718826,9.98739476481478,0.11175,8,0.87,[],False,True
probe_proto__transformed0_oracle,0,4,10,2.028345265295015,0.8808991561122124,7.601497484331588,0.20725,4,0.0,[2],True,True
probe_proto__transformed0_oracle,1,4,10,2.2582200104556556,0.9807324894643947,9.566046540592982,0.16925,2,0.3225,[],False,True
probe_proto__transformed0_oracle,2,4,10,2.046348903724439,0.8887180369362925,7.739591463572659,0.26025,6,0.01,[],False,True
probe_proto__transformed0_oracle,3,4,10,2.2667475428393566,0.9844359497228874,9.64797011878675,0.15125,5,0.3625,[],False,True
probe_proto__transformed0_oracle,4,4,10,2.2563608827060886,0.9799250805416047,9.548278559606674,0.146,6,0.2275,[],False,True
probe_proto__transformed1_oracle,0,4,10,2.2409366214991193,0.9732264090119834,9.402133404957723,0.1405,6,0.1625,[],False,True
probe_proto__transformed1_oracle,1,4,10,2.290543034261321,0.9947702003416227,9.880301566917524,0.126,3,0.4875,[],False,True
probe_proto__transformed1_oracle,2,4,10,2.2791703389570506,0.989831101526611,9.768572442561002,0.1555,3,0.555,[],False,True
probe_proto__transformed1_oracle,3,4,10,2.2452485562968265,0.9750990585009544,9.442762322831268,0.1635,5,0.18,[],False,True
probe_proto__transformed1_oracle,4,4,10,2.2566488136207044,0.9800501273489916,9.55102820001959,0.15025,8,0.295,[],False,True
probe_proto__transformed2_oracle,0,4,10,2.251105937798256,0.9776428869654272,9.498234486396703,0.1615,3,0.26,[],False,True
probe_proto__transformed2_oracle,1,4,10,2.2197560401640235,0.9640277994146483,9.20508492092575,0.18925,3,0.3125,[],False,True
probe_proto__transformed2_oracle,2,4,10,2.204167049277901,0.9572575866943652,9.062699640891484,0.1865,4,0.2225,[],False,True
probe_proto__transformed2_oracle,3,4,10,2.2654872899629344,0.9838886288528546,9.63581889510846,0.138,2,0.3875,[],False,True
probe_proto__transformed2_oracle,4,4,10,2.2315271662932994,0.9691399345383801,9.314079371760416,0.162,4,0.165,[],False,True
probe_proto__transformed3_oracle,0,4,10,2.2893041585611056,0.9942321634612551,9.86806868047295,0.11975,3,0.4825,[],False,True
probe_proto__transformed3_oracle,1,4,10,2.248104240699178,0.9763392664789527,9.469766411137202,0.156,4,0.2675,[],False,True
probe_proto__transformed3_oracle,2,4,10,2.240743390817161,0.9731424899930746,9.400316799825598,0.1635,3,0.2375,[],False,True
probe_proto__transformed3_oracle,3,4,10,2.2377526461941986,0.9718436261065402,9.372244851840373,0.174,4,0.19,[],False,True
probe_proto__transformed3_oracle,4,4,10,2.264944016203162,0.9836526880568226,9.630585429279881,0.149,4,0.455,[],False,True
probe_proto__transformed4_oracle,0,4,10,2.1729121675701175,0.943683764036136,8.783826805848506,0.2145,5,0.0425,[],False,True
probe_proto__transformed4_oracle,1,4,10,2.234618757491516,0.9704825955360662,9.342919255159668,0.16975,2,0.2225,[],False,True
probe_proto__transformed4_oracle,2,4,10,2.280891023898587,0.9905783855018144,9.785395547544173,0.141,4,0.2725,[],False,True
probe_proto__transformed4_oracle,3,4,10,2.2045055082331113,0.9574045775509639,9.065767511888247,0.17,0,0.15,[],False,True
probe_proto__transformed4_oracle,4,4,10,2.1753364263120827,0.9447366062304772,8.805146907049778,0.16225,4,0.0225,[],False,True
probe_proto__zf_oracle,0,4,10,2.300286679274457,0.9990018116044518,9.977042256107461,0.112,4,0.84,[],False,True
probe_proto__zf_oracle,1,4,10,2.300870918097245,0.9992555433013023,9.982872934618602,0.10825,5,0.82,[],False,True
probe_proto__zf_oracle,2,4,10,2.2983383338227923,0.9981556559259526,9.957622455589926,0.11375,0,0.7875,[],False,True
probe_proto__zf_oracle,3,4,10,2.300651530889145,0.9991602646474242,9.980683060220654,0.112,5,0.84,[],False,True
probe_proto__zf_oracle,4,4,10,2.301088999864027,0.9993502550092195,9.985050254594007,0.10775,4,0.8475,[],False,True
probe_proto__zf_proto,0,4,10,2.299715793722665,0.9987538791595102,9.971348132334976,0.109,2,0.8125,[],False,True
probe_proto__zf_proto,1,4,10,2.3012943566187265,0.999439440314607,9.987100962665972,0.10775,8,0.8375,[],False,True
probe_proto__zf_proto,2,4,10,2.298228892373809,0.9981081261085676,9.956532738591148,0.1145,2,0.78,[],False,True
probe_proto__zf_proto,3,4,10,2.299183532720974,0.9985227211435437,9.966042184789595,0.1135,2,0.795,[],False,True
probe_proto__zf_proto,4,4,10,2.3014560749656723,0.9995096737003081,9.98871619072692,0.108,2,0.845,[],False,True
